Year Read,Book Name,Book Title,Author,Description,Links2,Links
2023,Unsouled (Cradle Book 1),Unsouled (Cradle Book 1),Will Wight,,<a href='https://www.goodreads.com/book/show/30558257-unsouled?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=2'>Unsouled (Cradle Book 1)</a>,https://www.goodreads.com/book/show/30558257-unsouled?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=2
2023,Soulsmith (Cradle Book 2),Soulsmith (Cradle Book 2),Will Wight,,<a href='https://www.goodreads.com/book/show/32283608-soulsmith?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=3'>Soulsmith (Cradle Book 2)</a>,https://www.goodreads.com/book/show/32283608-soulsmith?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=3
2023,Blackflame (Cradle Book 3),Blackflame (Cradle Book 3),Will Wight,,<a href='https://www.goodreads.com/book/show/35023786-blackflame?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=6'>Blackflame (Cradle Book 3)</a>,https://www.goodreads.com/book/show/35023786-blackflame?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=6
2023,Skysworn (Cradle Book 4),Skysworn (Cradle Book 4),Will Wight,,<a href='https://www.goodreads.com/book/show/36332410-skysworn?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=7'>Skysworn (Cradle Book 4)</a>,https://www.goodreads.com/book/show/36332410-skysworn?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=7
2023,Ghostwater (Cradle Book 5),Ghostwater (Cradle Book 5),Will Wight,,<a href='https://www.goodreads.com/book/show/40280403-ghostwater?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=4'>Ghostwater (Cradle Book 5)</a>,https://www.goodreads.com/book/show/40280403-ghostwater?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=4
2023,Underlord (Cradle Book 6),Underlord (Cradle Book 6),Will Wight,,<a href='https://www.goodreads.com/book/show/43895031-underlord?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=9'>Underlord (Cradle Book 6)</a>,https://www.goodreads.com/book/show/43895031-underlord?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=9
2023,Uncrowned (Cradle Book 7),Uncrowned (Cradle Book 7),Will Wight,,<a href='https://www.goodreads.com/book/show/50789354-uncrowned'>Uncrowned (Cradle Book 7)</a>,https://www.goodreads.com/book/show/50789354-uncrowned
2023,Wintersteel (Cradle Book 8),Wintersteel (Cradle Book 8),Will Wight,,<a href='https://www.goodreads.com/book/show/55423083-wintersteel'>Wintersteel (Cradle Book 8)</a>,https://www.goodreads.com/book/show/55423083-wintersteel
2023,Bloodline (Cradle Book 9),Bloodline (Cradle Book 9),Will Wight,,<a href='https://www.goodreads.com/book/show/55595995-bloodline?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=10'>Bloodline (Cradle Book 9)</a>,https://www.goodreads.com/book/show/55595995-bloodline?from_search=true&from_srp=true&qid=1ERgygXtV3&rank=10
2023,Reaper (Cradle Book 10),Reaper (Cradle Book 10),Will Wight,,<a href='https://www.goodreads.com/book/show/57640065-reaper'>Reaper (Cradle Book 10)</a>,https://www.goodreads.com/book/show/57640065-reaper
